stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
8807,2533,72nd & Lawndale SW,,41.2969560871898,-96.023926118381,0,1
3069,2534,72nd & Graceland Dr SW,,41.2957535396144,-96.0239508822488,0,1
1555,2535,72nd & Spaulding NW,,41.29454,-96.02396,0,1
591,2536,72nd & Pratt NW,,41.2924842782477,-96.0239961906226,0,1
1539,2537,72nd & Pinkney NW,,41.290671,-96.02403,0,1
1463,2538,72nd & Bedford Ave NW,,41.288859,-96.02391,0,1
1436,2539,72nd & Wirt NW,,41.2870286074112,-96.0239032368859,0,1
2423,3012,72nd & Maple NW,,41.285283,-96.0239,0,1
9408,2540,72nd & Ohio NW,,41.2830428936759,-96.0238929610784,0,1
7951,2541,72nd & Lake NW,,41.281613,-96.0239,0,1
7952,2542,72nd & Grant NW,,41.279743,-96.02389,0,1
4849,3013,72nd & Blondo NW,,41.278101,-96.02388,0,1
706,2543,72nd & Decatur NW,,41.275739,-96.02389,0,1
2154,2544,72nd & Seward NW,,41.274313,-96.02389,0,1
528,2545,72nd & Hamilton SW,,41.2721712725652,-96.0238845531066,0,1
825,2546,72nd & Western Ave NW,,41.2707625742851,-96.0238764570952,0,1
2445,2547,72nd & Izard SW,,41.268678,-96.02389,0,1
2888,2548,72nd & Burt SW,,41.2666265032854,-96.0238816281209,0,1
849,2549,72nd & Webster SW,,41.2647972940565,-96.023906743836,0,1
2304,3014,72nd & Cass SW,,41.262471,-96.02391,0,1
9535,3015,72nd & Dodge NW,,41.2602179113019,-96.0238504592642,0,1
9411,3016,72nd & Dodge SW,,41.2589883372702,-96.0238785144072,0,1
2293,2550,72nd & Howard NW,,41.2563108776776,-96.0238982417688,0,1
2245,2551,72nd & Jones NW,,41.254529,-96.02391,0,1
2252,2552,72nd & Rose Blumpkin Dr NW,,41.251941,-96.02391,0,1
2035,2553,72nd & Pacific NW,,41.249926,-96.02394,0,1
2415,3017,72nd & Poppleton Ave NW,,41.248061,-96.02395,0,1
8024,2259,72nd & Pine SW,,41.244542,-96.02396,0,1
2018,2260,72nd & Cedar NW,,41.240346,-96.02398,0,1
1993,2086,Mercy Rd & 72nd SE,,41.2379182355882,-96.0233011529449,0,1
8759,2087,Mercy Rd & College of St. Marys SW,,41.23791,-96.021223,0,1
3814,2088,Mercy Rd & 68th SW,,41.237898,-96.0180350003766,0,1
7961,1143,14th & Dodge NW,,41.2598703461606,-95.9344909820347,0,1
5034,1006,Capitol Ave & 16th NE,,41.26067,-95.9369100040947,0,1
9417,1144,16th & Chicago SE,,41.2625631375608,-95.9371024019512,0,1
9205,1007,16th & Cass St. SE,,41.2636235898021,-95.9371272283286,0,1
9131,1008,16th & Mike Fahey SE,,41.2657199105333,-95.9371119819696,0,1
7279,1009,16th & Cuming NW,,41.26796,-95.937596,0,1
9565,1010,18th & Cuming NE,,41.26796,-95.938938,0,1
9244,3061,20th & Cuming NE,,41.26798,-95.942012,0,1
