route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
5298,2cf01af7-25c6-41ea-83c8-a3291a8ef0fa,d53eaa20-097b-4588-90c1-ed62d4bb84af,fa5b508c-d2ae-4a9f-927d-7ea632140643,Downtown,1,6efd25f8-dba9-44f3-b871-1f179f0824a3
5298,28888329-2b26-4dea-b53e-2c7349386310,ca57c2bb-d865-43bb-a1f2-f3b7174417f1,60fd135f-e8f1-4b42-912e-6c848e2c163b,Downtown,1,b9ec4984-1613-437e-88df-89ea7adf189f
5306,22cfb915-10dc-499d-a2ed-75087f529359,c4ecccae-4102-4780-a4b0-ecc637e4e9ab,aa0cbf0d-8536-4d47-a691-743f60ac7889,,1,c21e2ce3-0ca1-4606-8bce-d4aa4963f85c
5296,28888329-2b26-4dea-b53e-2c7349386310,a6027640-da6f-4206-adab-a537e90a087a,707e55cc-64e7-4270-826a-84aa08107ed9,Downtown,1,dbb9e0c0-b668-4b27-96e7-50c69de8dc86
5292,28888329-2b26-4dea-b53e-2c7349386310,0365d675-90f1-4dac-9b3d-f3cb773a1c12,ae63b643-16ea-4293-a009-ed46e4a44905,To Westroads Transit Center,0,44933330-6e96-4af5-a62b-0d59dc73bf84
5292,2cf01af7-25c6-41ea-83c8-a3291a8ef0fa,121fd482-d7ec-4f9f-82e8-9dfbf5354ec5,1c8d49c4-9679-4ac6-a05d-3d0c187f7fdf,To Westroads Transit Center,0,3053464f-b673-40d2-890e-b46a2e90c663
5309,28888329-2b26-4dea-b53e-2c7349386310,f8aea2fd-c204-42fd-9e28-4d38ad63844d,eda2ce8b-99c2-4155-bbcf-6389ac0c54a4,Council Bluffs,0,eaf25b57-ee34-4a87-ad87-9a9f6bd2bfb8
5305,22cfb915-10dc-499d-a2ed-75087f529359,21a6702c-409a-4cf1-b5bb-aa8080760234,bf75817b-35d1-4b8d-8722-1d48d7cdbb12,Downtown,1,c21e2ce3-0ca1-4606-8bce-d4aa4963f85c
5292,28888329-2b26-4dea-b53e-2c7349386310,46343bba-b8b4-4303-b00b-c48fac0e1ce1,1c8d49c4-9679-4ac6-a05d-3d0c187f7fdf,To Westroads Transit Center,0,5ca7d5d6-3c46-4173-8fc9-9026674949e3
5292,22cfb915-10dc-499d-a2ed-75087f529359,6a47314d-6851-4c72-936b-0c6f07a81a24,7ab8f22e-bf3d-4f50-9ff1-3a825f7df3b2,To Downtown,1,2932ac9a-a557-40f5-9f62-688a3ff98d5f
5307,2cf01af7-25c6-41ea-83c8-a3291a8ef0fa,dd92d329-d27b-4800-aeeb-453aabbea189,ac368c5c-0add-4fd7-b066-09ad0b10bcb8,Westroads Transit Center,0,b0e807b4-8d7f-4ddd-84c3-7227d4731159
5299,28888329-2b26-4dea-b53e-2c7349386310,5c782d3c-aca7-4657-a4cb-19da0b378166,d495ff52-60e3-4821-92f9-578e85b6572b,to Aksarben Transit Center via Ames & 72nd,0,b198ceed-738d-4d7b-9025-228a6c52f6ef
5299,22cfb915-10dc-499d-a2ed-75087f529359,29c47859-5d2c-45f4-8656-858c6aa15839,a8cc25f8-9641-47a0-b804-69a7fd855339,Aksarben Transit Center,0,e45c0b61-6e0a-488e-85cc-d2d836c92a1f
5297,28888329-2b26-4dea-b53e-2c7349386310,69351987-b372-4739-8e12-b50c8eadf536,1c942f52-0242-4488-9644-401b7a81636f,North Omaha Transit Center,1,1c6ae0f1-d2c0-42bc-b5ff-b99057c0f32c
5304,22cfb915-10dc-499d-a2ed-75087f529359,10d84a23-011c-4dbc-9cd5-c3ede5c31a6a,c529b02a-2fd3-4738-8a93-f187c65c8882,,1,7b1c4bc9-6216-40e5-9408-05a60db77736
5296,22cfb915-10dc-499d-a2ed-75087f529359,367ec20c-8547-4f4b-a958-e0da7532a222,5d73b79e-87ea-4a1c-bb1e-42b31d217850,,0,9a8aa6ab-2590-4e12-98ef-cc5bc3b3867b
5306,28888329-2b26-4dea-b53e-2c7349386310,8fd05d6f-3318-47a3-af0f-dfb8c02f2223,0edb0f71-21ba-44ea-a2e4-65a2c65eb7e6,,0,7de6aa85-4c37-4b36-b5a8-73e8c39febee
